TIMESTAMP | LEVEL | TYPE | APPLICATION | DETAILS
2025-06-01 20:29:19.659 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 15 denied requests in the last 60 seconds.
2025-06-01 20:29:19.665 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 12 denied requests in the last 60 seconds.
2025-06-01 20:29:19.665 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 13 denied requests in the last 60 seconds.
2025-06-01 20:29:19.673 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 16 denied requests in the last 60 seconds.
2025-06-01 20:29:19.686 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 17 denied requests in the last 60 seconds.
2025-06-01 20:29:19.711 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 14 denied requests in the last 60 seconds.
2025-06-01 20:29:19.720 | HIGH | EXCESSIVE_DENIES | HTTP | Application 'HTTP' has 18 denied requests in the last 60 seconds.
2025-06-01 20:29:25.528 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 5 denied requests in the last 60 seconds.
2025-06-01 20:29:25.532 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 6 denied requests in the last 60 seconds.
2025-06-01 20:29:25.536 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 7 denied requests in the last 60 seconds.
2025-06-01 20:29:25.539 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 8 denied requests in the last 60 seconds.
2025-06-01 20:29:25.543 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 9 denied requests in the last 60 seconds.
2025-06-01 20:29:25.560 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 10 denied requests in the last 60 seconds.
2025-06-01 20:29:25.588 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 11 denied requests in the last 60 seconds.
2025-06-01 20:29:27.559 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 12 denied requests in the last 60 seconds.
2025-06-01 20:29:31.716 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 15 denied requests in the last 60 seconds.
2025-06-01 20:29:31.721 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 16 denied requests in the last 60 seconds.
2025-06-01 20:29:31.730 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 17 denied requests in the last 60 seconds.
2025-06-01 20:29:31.759 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 5 denied requests in the last 60 seconds.
2025-06-01 20:29:31.769 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 18 denied requests in the last 60 seconds.
2025-06-01 20:29:31.774 | HIGH | EXCESSIVE_DENIES | GenericTCP | Application 'GenericTCP' has 19 denied requests in the last 60 seconds.
2025-06-01 20:29:31.785 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 6 denied requests in the last 60 seconds.
2025-06-01 20:29:31.789 | HIGH | EXCESSIVE_DENIES | HTTPS | Application 'HTTPS' has 7 denied requests in the last 60 seconds.
